"SourceUnit","OriginalTestClass","OriginalTestMethod","Status","NexusTest","Notes"
"tconstparser.pas","TTestResourcestringParser","TestSimple","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ConstAdvancedStructuralDeclarations","NexusPas asserts const/resource symbols and declared type text structurally; expression evaluation and passrc expression object expectations are intentionally not preserved."
"tconstparser.pas","TTestResourcestringParser","TestSimpleDeprecated","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tconstparser.pas","TTestResourcestringParser","TestSimplePlatform","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tconstparser.pas","TTestResourcestringParser","TestSum1","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tconstparser.pas","TTestResourcestringParser","TestSum1Deprecated","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ConstAdvancedStructuralDeclarations","NexusPas asserts const/resource symbols and declared type text structurally; expression evaluation and passrc expression object expectations are intentionally not preserved."
"tconstparser.pas","TTestResourcestringParser","TestSum1Platform","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tconstparser.pas","TTestResourcestringParser","TestSum2","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tconstparser.pas","TTestResourcestringParser","TestSum2Deprecated","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tconstparser.pas","TTestResourcestringParser","TestSum2Platform","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceUses","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceUsesEmpty","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetImplementationUses","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetImplementationUsesEmpty","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetAllUses","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceVarIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterface2VarIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceConstIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterface2ConstsIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceTypeIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterface2TypeIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceProcIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceResourcestringIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceEnumTypeIdentifiersNoRecurse","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceEnumTypeIdentifiersRecurse","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceRecordTypeIdentifiersNoRecurse","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceRecordTypeIdentifiersRecurse","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceRecordTypeIdentifiersRecurseVariant","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceClassTypeIdentifiersNoRecurse","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetInterfaceClassTypeIdentifiersRecurse","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestGetImplementationVarIdentifiers","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestInterfaceHasResourceStrings","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestInterfaceHasResourceStringsFalse","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestImplementationHasResourceStrings","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestHasResourceStrings","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestHasResourceStrings2","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestHasResourceStrings3","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcpassrcutil.pas","TPasSrcUtilTest","TestHasResourceStrings4","not applicable because it targets passrc-specific internals","","passrc utility/internal behavior, not a NexusPas parser behavior contract."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyProcedure","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureFunctionDeclarations","Routine declaration translated to Nexus routine symbol."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyProcedureComment","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyFunction","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureFunctionDeclarations","Function return type translated to declared type metadata."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyFunctionComment","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyProcedureDeprecated","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Procedure deprecated directive is structurally skipped; NexusPas does not model passrc procedure modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyFunctionDeprecated","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Function deprecated directive is structurally skipped while preserving return type; NexusPas does not model passrc procedure modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyProcedurePlatform","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Procedure platform directive is structurally skipped; NexusPas does not model passrc procedure modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyFunctionPlatform","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Function platform directive is structurally skipped; NexusPas does not model passrc procedure modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyProcedureExperimental","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Procedure experimental directive is structurally skipped; NexusPas does not model passrc procedure modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyFunctionExperimental","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Function experimental directive is structurally skipped; NexusPas does not model passrc procedure modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyProcedureUnimplemented","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Procedure unimplemented directive is structurally skipped; NexusPas does not model passrc procedure modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestEmptyFunctionUnimplemented","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Function unimplemented directive is structurally skipped; NexusPas does not model passrc procedure modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureFunctionDeclarations","Parameter behavior translated to nested Nexus parameter symbol."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureFunctionDeclarations","Parameter behavior translated to nested Nexus parameter symbol."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneVarArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureParameterModes","var parameter behavior translated to nested Nexus parameter symbol."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneVarArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneConstArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureParameterModes","const parameter behavior translated to nested Nexus parameter symbol."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneConstArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneOutArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureParameterModes","out parameter behavior translated to nested Nexus parameter symbol."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneOutArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneConstRefArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Routine parameter mode syntax is captured structurally as NexusPas parameter symbols and declared type text."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneConstRefArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Routine parameter mode syntax is captured structurally as NexusPas parameter symbols and declared type text."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureTwoArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureParameterModes","Multiple parameter behavior translated to nested Nexus parameter symbols."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionTwoArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureTwoArgsSeparate","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionTwoArgsSeparate","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneArgDefault","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneArgDefault","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneArgDefaultSet","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Routine default parameter syntax is tested structurally; default expressions are preserved only as parse-safe syntax and are not evaluated."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneArgDefaultSet","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Routine default parameter syntax is tested structurally; default expressions are preserved only as parse-safe syntax and are not evaluated."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneArgDefaultExpr","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Routine default parameter syntax is tested structurally; default expressions are preserved only as parse-safe syntax and are not evaluated."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneArgDefaultExpr","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Routine default parameter syntax is tested structurally; default expressions are preserved only as parse-safe syntax and are not evaluated."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureTwoArgsDefault","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionTwoArgsDefault","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneArgEnumeratedExplicit","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Explicit enum default parameter is tested structurally by parameter type capture; default expression evaluation is not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneUntypedVarArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Untyped routine parameters are captured structurally as NexusPas parameter symbols without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneUntypedVarArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Untyped routine parameters are captured structurally as NexusPas parameter symbols without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureTwoUntypedVarArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Untyped routine parameters are captured structurally as NexusPas parameter symbols without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionTwoUntypedVarArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Untyped routine parameters are captured structurally as NexusPas parameter symbols without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOneUntypedConstArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Untyped routine parameters are captured structurally as NexusPas parameter symbols without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOneUntypedConstArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Untyped routine parameters are captured structurally as NexusPas parameter symbols without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureTwoUntypedConstArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Untyped routine parameters are captured structurally as NexusPas parameter symbols without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionTwoUntypedConstArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Untyped routine parameters are captured structurally as NexusPas parameter symbols without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOpenArrayArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOpenArrayArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureTwoOpenArrayArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionTwoOpenArrayArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureConstOpenArrayArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionConstOpenArrayArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureVarOpenArrayArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Var open-array parameter is tested structurally by declared parameter type capture."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionVarOpenArrayArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Function var open-array parameter is tested structurally by declared parameter type capture."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureArrayOfConstArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionArrayOfConstArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureConstArrayOfConstArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionConstArrayOfConstArg","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdvancedParameterForms","Open-array parameter syntax is captured as NexusPas declared type text without semantic type resolution."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureCdecl","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionCdecl","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureCdeclDeprecated","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Combined cdecl/deprecated procedure directives are structurally skipped; NexusPas does not model passrc modifier enums."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionCdeclDeprecated","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","Combined cdecl/deprecated function directives are structurally skipped while preserving return type."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureSafeCall","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","safecall procedure directive is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionSafeCall","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","safecall function directive is structurally skipped while preserving return type."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedurePascal","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","pascal procedure directive is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionPascal","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","pascal function directive is structurally skipped while preserving return type."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureStdCall","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionStdCall","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOldFPCCall","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","oldfpccall procedure directive is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOldFPCCall","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","oldfpccall function directive is structurally skipped while preserving return type."
"tcprocfunc.pas","TTestProcedureFunction","TestCallingConventionHardFloat","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","hardfloat calling convention is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestCallingConventionMS_ABI_CDecl","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","ms_abi_cdecl calling convention is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestCallingConventionMS_ABI_Default","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","ms_abi_default calling convention is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestCallingConventionMWPascal","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","mwpascal calling convention is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestCallingConventionSysV_ABI_CDec","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","sysv_abi_cdecl calling convention is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestCallingConventionSysV_ABI_Default","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","sysv_abi_default calling convention is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestCallingConventionVectorCall","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","vectorcall calling convention is structurally skipped; calling convention enums are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedurePublic","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","public name procedure tail is structurally skipped; public-name expression modeling is not implemented."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedurePublicIdent","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","public name identifier procedure tail is structurally skipped; public-name expression modeling is not implemented."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionPublic","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","public name function tail is structurally skipped while preserving return type."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureCdeclPublic","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","combined cdecl/public name procedure tails are structurally skipped; modifier expression modeling is not implemented."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionCdeclPublic","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","combined cdecl/public name function tails are structurally skipped while preserving return type."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureOverload","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionOverload","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureVarargs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","varargs procedure directive is structurally skipped; passrc procedure type modifiers are not modeled."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionVarArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","varargs function directive is structurally skipped while preserving return type."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureCDeclVarargs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","combined cdecl/varargs procedure directives are structurally skipped."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionCDeclVarArgs","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureAdditionalDirectives","combined cdecl/varargs function directives are structurally skipped while preserving return type."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureForwardInterface","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcprocfunc.pas","TTestProcedureFunction","TestFunctionForwardInterface","deferred because NexusPas does not yet support the required feature","","Not yet ported as an active NexusPas assertion in this milestone; tracked for future parser coverage."
"tcprocfunc.pas","TTestProcedureFunction","TestProcedureForward","active NexusPas test with adjusted Nexus expectation","NexusPas.PassrcPort.ProcedureModifiersAndDefaults","Routine declaration behavior translated to NexusPas structural name, parameter, return-type, and directive-skipping assertions."
